Z,Element,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Lg1,Ma1,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N23,N4,N5,N6,N7,O1,O23,O45
41.00,Nb,16615.10,16521.00,18622.50,2165.89,2163.00,2257.40,2367.00,2461.80,NaN ,NaN,2698.00,2465.00,2371.00,468.00,378.00,363.00,205.00,205.00,58.00,34.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.00,Mo,17479.34,17374.30,19608.30,2293.16,2289.85,2394.81,2518.30,2623.50,NaN ,NaN,2865.00,2625.00,2520.00,505.00,410.00,392.00,227.00,227.00,62.00,35.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.00,Tc,18367.10,18250.80,20619.00,2424.00,2420.00,2538.00,2674.00,2792.00,NaN ,NaN,3042.00,2793.00,2677.00,544.00,445.00,425.00,253.00,253.00,68.00,39.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.00,Ru ,19279.20,19150.40,21656.80,2558.55,2554.31,2683.23,2836.00,2964.50,NaN ,NaN,3224.00,2967.00,2838.00,585.00,483.00,461.00,279.00,279.00,75.00,43.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.00,Rh,20216.10,20073.70,22723.60,2696.74,2692.05,2834.41,3001.30,3143.80,NaN ,NaN,3412.00,3146.00,3004.00,627.00,521.00,496.00,307.00,307.00,81.00,48.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.00,Pd,21177.10,21020.10,23818.70,2838.61,2833.29,2990.22,3171.79,3328.70,NaN ,NaN,3604.00,3330.00,3173.00,670.00,559.00,531.00,335.00,335.00,86.00,51.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.00,Ag,22162.92,21990.30,24942.40,2984.31,2978.21,3150.94,3347.81,3519.59,NaN ,NaN,3806.00,3524.00,3351.00,717.00,602.00,571.00,367.00,367.00,95.00,56.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.00,Cd,23173.60,22984.10,26095.50,3133.73,3126.91,3316.57,3528.12,3716.86,NaN ,NaN,4018.00,3727.00,3538.00,770.00,651.00,616.00,404.00,404.00,108.00,67.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.00,In,24209.70,24002.00,27275.90,3286.94,3279.29,3487.21,3713.81,3920.81,NaN ,NaN,4237.00,3938.00,3730.00,826.00,702.00,664.00,443.00,443.00,122.00,77.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.00,Sn,25271.30,25044.00,28486.00,3443.98,3435.42,3662.80,3904.86,4131.12,NaN ,NaN,4465.00,4156.00,3929.00,884.00,756.00,714.00,485.00,485.00,136.00,89.00,24.00,24.00,NaN,NaN,NaN,NaN,NaN
51.00,Sb,26359.10,26110.80,29725.60,3604.72,3595.32,3843.57,4100.78,4347.79,NaN ,NaN,NaN,4380.00,4132.00,944.00,812.00,766.00,528.00,528.00,152.00,98.00,31.00,31.00,NaN,NaN,NaN,NaN,NaN
52.00,Te,27472.30,27201.70,30995.70,3769.33,3758.80,4029.58,4301.70,4570.90,NaN ,NaN,NaN,4612.00,4341.00,1006.00,870.00,819.00,572.00,572.00,168.00,110.00,40.00,40.00,NaN,NaN,NaN,NaN,NaN
53.00,I,28612.00,28317.20,32294.70,3937.65,3926.04,4220.72,4507.50,4800.90,NaN ,NaN,NaN,4852.00,4557.00,1072.00,930.00,875.00,619.00,619.00,186.00,123.00,50.00,50.00,NaN,NaN,NaN,NaN,NaN
54.00,Xe ,29779.00,29458.00,33624.00,4109.90,NaN ,NaN ,NaN ,NaN ,NaN ,NaN,NaN,NaN,4782.00,1145.00,999.00,937.00,672.00,672.00,208.00,147.00,63.00,63.00,NaN,NaN,NaN,NaN,NaN
55.00,Cs,30972.80,30625.10,34986.90,4286.50,4272.20,4619.80,4935.90,5280.40,NaN ,NaN,NaN,NaN,NaN,1217.00,1065.00,998.00,740.00,726.00,231.00,162.00,76.00,76.00,NaN,NaN,NaN,NaN,NaN
56.00,Ba,32193.60,31817.10,36378.20,4466.26,4450.90,4827.53,5156.50,5531.10,NaN ,NaN,NaN,NaN,NaN,1293.00,1137.00,1062.00,796.00,781.00,253.00,180.00,90.00,90.00,NaN,NaN,NaN,15.00,NaN
57.00,La,33441.80,33034.10,37801.00,4650.97,4634.23,5042.10,5383.50,5788.50,833.00,NaN,NaN,NaN,NaN,1361.00,1204.00,1123.00,849.00,832.00,270.00,191.00,99.00,99.00,NaN,NaN,NaN,14.00,NaN
58.00,Ce,34719.70,34278.90,39257.30,4840.20,4823.00,5262.20,5613.40,6052.00,883.00,NaN,NaN,NaN,NaN,1435.00,1273.00,1185.00,901.00,883.00,290.00,207.00,110.00,110.00,NaN,NaN,NaN,20.00,NaN
59.00,Pr,36026.30,35550.20,40748.20,5033.70,5013.50,5488.90,5850.00,6322.10,929.00,NaN,NaN,NaN,NaN,1511.00,1337.00,1242.00,951.00,931.00,305.00,218.00,113.00,113.00,NaN,NaN,NaN,22.00,NaN
60.00,Nd,37361.00,36847.40,42271.30,5230.40,5207.70,5721.60,6089.40,6602.10,978.00,NaN,NaN,NaN,NaN,1575.00,1403.00,1297.00,1000.00,978.00,315.00,225.00,118.00,118.00,NaN,NaN,NaN,21.00,NaN
61.00,Pm,38724.70,38171.20,43826.00,5432.50,5407.80,5961.00,6339.00,6892.00,NaN,NaN,NaN,NaN,NaN,1649.00,1471.00,1357.00,1052.00,1027.00,331.00,236.00,120.00,120.00,NaN,NaN,NaN,24.00,NaN
62.00,Sm,40118.10,39522.40,45413.00,5636.10,5609.00,6205.10,6586.00,7178.00,1081.00,NaN,NaN,NaN,NaN,1723.00,1541.00,1420.00,1106.00,1080.00,346.00,247.00,129.00,129.00,NaN,NaN,NaN,21.00,NaN
63.00,Eu,41542.20,40901.90,47037.90,5845.70,5816.60,6456.40,6843.20,7480.30,1131.00,NaN,NaN,NaN,NaN,1800.00,1614.00,1481.00,1161.00,1131.00,360.00,257.00,133.00,133.00,NaN,NaN,NaN,22.00,NaN
64.00,Gd,42996.20,42308.90,48697.00,6057.20,6025.00,6713.20,7102.80,7785.80,1185.00,NaN,NaN,NaN,NaN,1881.00,1688.00,1544.00,1217.00,1185.00,376.00,271.00,140.00,140.00,NaN,NaN,NaN,20.00,NaN
65.00,Tb,44481.60,43744.10,50382.00,6272.80,6238.00,6978.00,7366.70,8102.00,1240.00,NaN,NaN,NaN,NaN,1967.00,1768.00,1611.00,1275.00,1241.00,398.00,285.00,147.00,147.00,NaN,NaN,NaN,25.00,NaN
66.00,Dy,45998.40,45207.80,52119.00,6495.20,6457.70,7247.70,7635.70,8418.80,1293.00,NaN,NaN,NaN,NaN,2047.00,1842.00,1676.00,1332.00,1295.00,416.00,293.00,154.00,154.00,NaN,NaN,NaN,26.00,NaN
67.00,Ho,47546.70,46699.70,53877.00,6719.80,6679.50,7525.30,7911.00,8747.00,1348.00,NaN,NaN,NaN,NaN,2128.00,1923.00,1741.00,1391.00,1351.00,436.00,307.00,161.00,161.00,NaN,NaN,51.00,20.00,NaN
68.00,Er,49127.70,48221.10,55681.00,6948.70,6905.00,7810.90,8189.00,9089.00,1406.00,NaN,NaN,NaN,NaN,2206.00,2006.00,1812.00,1453.00,1409.00,449.00,320.00,168.00,168.00,NaN,NaN,60.00,29.00,NaN
69.00,Tm,50741.60,49772.60,57517.00,7179.90,7133.10,8101.00,8468.00,9426.00,1462.00,NaN,NaN,NaN,NaN,2307.00,2090.00,1884.00,1515.00,1468.00,472.00,337.00,180.00,180.00,NaN,NaN,53.00,32.00,NaN
70.00,Yb,52388.90,51354.00,59370.00,7415.60,7367.30,8401.80,8758.80,9780.10,1521.40,NaN,NaN,NaN,NaN,2398.00,2173.00,1950.00,1576.00,1528.00,487.00,343.00,185.00,185.00,NaN,NaN,54.00,24.00,NaN
71.00,Lu,54069.80,52965.00,61283.00,7655.50,7604.90,8709.00,9048.90,10143.40,1581.30,NaN,NaN,NaN,NaN,2491.00,2263.00,2024.00,1639.00,1588.00,506.00,359.00,195.00,195.00,NaN,NaN,57.00,28.00,NaN
72.00,Hf,55790.20,54611.40,63234.00,7899.00,7844.60,9022.70,9347.30,10515.80,1644.60,NaN,NaN,NaN,NaN,2601.00,2365.00,2108.00,1716.00,1662.00,538.00,380.00,214.00,214.00,NaN,NaN,65.00,31.00,NaN
73.00,Ta,57532.00,56277.00,65223.00,8146.10,8087.90,9343.10,9651.80,10895.20,1710.00,NaN,NaN,NaN,NaN,2708.00,2469.00,2194.00,1793.00,1735.00,565.00,404.00,229.00,229.00,NaN,NaN,71.00,36.00,NaN
74.00,W,59318.24,57981.70,67244.30,8397.60,8335.20,9672.35,9961.50,11285.90,1775.40,NaN,NaN,NaN,NaN,2820.00,2575.00,2281.00,1872.00,1809.00,595.00,425.00,245.00,245.00,NaN,NaN,77.00,36.00,NaN
75.00,Re,61140.30,59717.90,69310.00,8652.50,8586.20,10010.00,10275.20,11685.40,1842.50,NaN,NaN,NaN,NaN,2932.00,2682.00,2367.00,1949.00,1883.00,625.00,444.00,260.00,260.00,NaN,NaN,83.00,35.00,NaN
76.00,Os,63000.50,61486.70,71413.00,8911.70,8841.00,10355.30,10598.50,12095.30,1910.20,NaN,NaN,NaN,NaN,NaN,2792.00,2457.00,2031.00,1960.00,654.00,468.00,273.00,273.00,46.00,46.00,84.00,45.00,NaN
77.00,Ir,64895.60,63286.70,73560.80,9175.10,9099.50,10708.30,10920.30,12512.60,1979.90,NaN,NaN,NaN,NaN,NaN,2909.00,2551.00,2116.00,2040.00,690.00,494.00,295.00,295.00,60.00,60.00,95.00,50.00,NaN
